province,location,year,latinName,commonName,counts,catched,adult,pulli,not_catched
Antwerpen,Beerse,2014,Branta leucopsis,Brandgans,0,,,,
Antwerpen,Beerse,2014,Branta ruficollis,Roodhalsgans,0,,,,
Antwerpen,Beerse,2014,Chloephaga picta,Magelhaengans,0,,,,
Antwerpen,Beerse,2015,Alopochen aegyptiacus,Nijlgans,13,,,,
Antwerpen,Beerse,2015,Anser albifrons,Kolgans,0,,,,
Antwerpen,Beerse,2015,Anser anser,Grauwe gans,15,,,,
Antwerpen,Beerse,2015,Anser anser forma domesticus,Soepgans,0,,,,
Antwerpen,Beerse,2015,Anser brachyrhynchus,Kleine rietgans,0,,,,
Antwerpen,Beerse,2015,Anser cygnoides forma domestica,Zwaangans,0,,,,
Antwerpen,Beerse,2015,Anser erythropus,Dwerggans,0,,,,
Antwerpen,Beerse,2015,Anser indicus,Indische gans,0,,,,
Antwerpen,Beerse,2015,Branta canadensis,Canadese gans,70,,,,
Antwerpen,Beerse,2015,Branta leucopsis,Brandgans,39,,,,
Antwerpen,Beerse,2015,Branta ruficollis,Roodhalsgans,0,,,,
Antwerpen,Beerse,2015,Chloephaga picta,Magelhaengans,0,,,,
Antwerpen,Beerse,2016,Alopochen aegyptiacus,Nijlgans,13,,,,
Antwerpen,Beerse,2016,Anser albifrons,Kolgans,0,,,,
Antwerpen,Beerse,2016,Anser anser,Grauwe gans,15,,,,
Antwerpen,Beerse,2016,Anser anser forma domesticus,Soepgans,1,1,1,0,0
Antwerpen,Beerse,2016,Anser brachyrhynchus,Kleine rietgans,0,,,,
Antwerpen,Beerse,2016,Anser cygnoides forma domestica,Zwaangans,0,,,,
Antwerpen,Beerse,2016,Anser erythropus,Dwerggans,0,,,,
Antwerpen,Beerse,2016,Anser indicus,Indische gans,0,,,,
Antwerpen,Beerse,2016,Branta canadensis,Canadese gans,111,29,10,19,0
Antwerpen,Beerse,2016,Branta leucopsis,Brandgans,38,,,,
Antwerpen,Beerse,2016,Branta ruficollis,Roodhalsgans,0,,,,
Antwerpen,Beerse,2016,Chloephaga picta,Magelhaengans,0,,,,
Antwerpen,Beerse,2017,Alopochen aegyptiacus,Nijlgans,1,,,,
Antwerpen,Beerse,2017,Anser albifrons,Kolgans,0,,,,
Antwerpen,Beerse,2017,Anser anser,Grauwe gans,49,,,,
Antwerpen,Beerse,2017,Anser anser forma domesticus,Soepgans,3,,,,
Antwerpen,Beerse,2017,Anser brachyrhynchus,Kleine rietgans,0,,,,
Antwerpen,Beerse,2017,Anser cygnoides forma domestica,Zwaangans,0,,,,
Antwerpen,Beerse,2017,Anser erythropus,Dwerggans,0,,,,
Antwerpen,Beerse,2017,Anser indicus,Indische gans,0,,,,
Antwerpen,Beerse,2017,Branta canadensis,Canadese gans,29,,,,
Antwerpen,Beerse,2017,Branta leucopsis,Brandgans,34,,,,
Antwerpen,Beerse,2017,Branta ruficollis,Roodhalsgans,0,,,,
Antwerpen,Beerse,2017,Chloephaga picta,Magelhaengans,0,,,,
Antwerpen,Beerse,2018,Alopochen aegyptiacus,Nijlgans,8,,,,
Antwerpen,Beerse,2018,Anser albifrons,Kolgans,0,,,,
Antwerpen,Beerse,2018,Anser anser,Grauwe gans,26,,,,
