gbifID	occurrenceID	scientificName	taxonKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	eventDate	basisOfRecord	sex	lifeStage	individualCount
5901037869	6-1658593	Procyon lotor (Linnaeus, 1758)	5218786	50.010171	5.424392	49	2025-09-10	HUMAN_OBSERVATION			1
5901037856	6-1655057	Procyon lotor (Linnaeus, 1758)	5218786	49.752686	5.233927	49	2025-04-08	HUMAN_OBSERVATION			1
5901037831	6-1647444	Procyon lotor (Linnaeus, 1758)	5218786	50.627847	6.108592	49	2025-03-31	HUMAN_OBSERVATION			1
5901037814	6-1657680	Procyon lotor (Linnaeus, 1758)	5218786	50.050973	5.063794	49	2025-03-24	HUMAN_OBSERVATION			1
5901037811	6-1647417	Procyon lotor (Linnaeus, 1758)	5218786	50.598152	6.101493	49	2025-04-09	HUMAN_OBSERVATION			1
5901037809	6-1644389	Procyon lotor (Linnaeus, 1758)	5218786	49.844995	5.731476	2828	2020	HUMAN_OBSERVATION			1
5901037808	6-1644388	Procyon lotor (Linnaeus, 1758)	5218786	49.844995	5.731476	2828	2019	HUMAN_OBSERVATION			1
5901037807	6-1644387	Procyon lotor (Linnaeus, 1758)	5218786	49.844995	5.731476	2828	2019	HUMAN_OBSERVATION			1
5901037806	6-1644386	Procyon lotor (Linnaeus, 1758)	5218786	49.844995	5.731476	2828	2019	HUMAN_OBSERVATION			1
5901037804	6-1644385	Procyon lotor (Linnaeus, 1758)	5218786	49.844995	5.731476	2828	2019	HUMAN_OBSERVATION			2
5901037801	6-1644391	Procyon lotor (Linnaeus, 1758)	5218786	49.844995	5.731476	2828	2020	HUMAN_OBSERVATION			1
5901037797	6-1644390	Procyon lotor (Linnaeus, 1758)	5218786	49.844995	5.731476	2828	2020	HUMAN_OBSERVATION			1
5901037793	6-1639802	Procyon lotor (Linnaeus, 1758)	5218786	49.859045	5.545839	49	2025-03-20	HUMAN_OBSERVATION			3
5901037791	6-1658526	Procyon lotor (Linnaeus, 1758)	5218786	49.97544	5.495136	49	2025-04-03	HUMAN_OBSERVATION			1
5901037787	6-1659853	Procyon lotor (Linnaeus, 1758)	5218786	50.39463	5.644321	49	2025-04-02	HUMAN_OBSERVATION			1
5901037775	6-1644399	Procyon lotor (Linnaeus, 1758)	5218786	49.844995	5.731476	2828	2020	HUMAN_OBSERVATION			1
5901037774	6-1644398	Procyon lotor (Linnaeus, 1758)	5218786	49.844995	5.731476	2828	2020	HUMAN_OBSERVATION			1
5901037772	6-1644397	Procyon lotor (Linnaeus, 1758)	5218786	49.844995	5.731476	2828	2020	HUMAN_OBSERVATION			1
5901037771	6-1644396	Procyon lotor (Linnaeus, 1758)	5218786	49.844995	5.731476	2828	2020	HUMAN_OBSERVATION			1
5901037770	6-1644395	Procyon lotor (Linnaeus, 1758)	5218786	49.844995	5.731476	2828	2020	HUMAN_OBSERVATION			1
5901037768	6-1644394	Procyon lotor (Linnaeus, 1758)	5218786	49.844995	5.731476	2828	2020	HUMAN_OBSERVATION			1
5901037767	6-1644393	Procyon lotor (Linnaeus, 1758)	5218786	49.844995	5.731476	2828	2020	HUMAN_OBSERVATION			1
5901037766	6-1644392	Procyon lotor (Linnaeus, 1758)	5218786	49.844995	5.731476	2828	2020	HUMAN_OBSERVATION			1
5901037763	6-1642185	Procyon lotor (Linnaeus, 1758)	5218786	49.748378	5.52971	49	2025-04-09	HUMAN_OBSERVATION			1
5901037750	6-1644369	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037747	6-1644368	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			2
5901037746	6-1655498	Procyon lotor (Linnaeus, 1758)	5218786	49.732211	5.397119	49	2025-03-19	HUMAN_OBSERVATION			1
5901037744	6-1644367	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037743	6-1644366	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037742	6-1644365	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037741	6-1644364	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
5901037740	6-1644363	Procyon lotor (Linnaeus, 1758)	5218786	49.880952	5.732498	2828	2023	HUMAN_OBSERVATION			1
