id,date,species,n_fishes,n_traps,location_id,location_name,location_x,location_y,weight,weight_total,weight_unit,weight_calibration,length,length_unit,depth,depth_unit
116,2009-10-01,baars,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,6.5,,g,-0.784642887301743,8.6,cm,103,cm
117,2009-10-01,grijze_garnaal,116,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,,116,g,-2.3024896695278585,,cm,165,cm
118,2009-10-01,steurgarnaal,626,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,,608,g,3.4735915903002024,,cm,110,cm
119,2009-10-01,driedoornige_stekelbaars,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,0.9,,g,0.8263185760006309,4.7,cm,26,cm
120,2009-10-01,zeebaars,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,3.9,,g,0.8806662261486053,7.3,cm,128,cm
121,2009-10-01,zeebaars,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,2.5,,g,-2.7993544773198664,6.4,cm,64,cm
122,2009-10-01,bot,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,4.1,,g,0.8271602005697787,7.1,cm,200,cm
123,2009-10-01,bot,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,9.3,,g,3.380221843253821,9.4,cm,157,cm
124,2009-10-01,bot,1,2,85000100,"Antwerpen, Kennedytunnel",150151.9337,210616.119,39.9,,g,0.4850160703063011,15.7,cm,96,cm
125,2009-03-26,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,237.6,,g,-3.2975638564676046,24.3,cm,39,cm
126,2009-03-26,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,49.1,,g,0.7082459004595876,15.8,cm,79,cm
127,2009-03-26,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,212.3,,g,-3.55811286251992,25.5,cm,147,cm
128,2009-03-26,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,8.5,,g,-0.8971980679780245,9.7,cm,55,cm
129,2009-03-26,snoekbaars,1,2,81200100,Zandplaat Kastel,137700,193386,62.4,,g,3.132394759450108,20.6,cm,55,cm
130,2009-03-26,snoekbaars,1,2,81200100,Zandplaat Kastel,137700,193386,84.9,,g,-1.5450953971594572,22.4,cm,83,cm
131,2009-03-26,rietvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,72.2,,g,-4.494629232212901,18,cm,53,cm
132,2009-03-26,brasem,1,2,81200100,Zandplaat Kastel,137700,193386,337.6,,g,-0.786625852342695,31,cm,186,cm
133,2009-03-26,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,39.5,,g,0.08955277968198061,15.5,cm,59,cm
134,2009-03-26,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,39.2,,g,-1.1940201837569475,14.7,cm,183,cm
135,2009-03-26,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,28,,g,-2.2857786691747606,14.4,cm,102,cm
136,2009-03-26,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,28.6,,g,1.2309376266784966,13.6,cm,64,cm
137,2009-03-26,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,106,,g,0.10961636900901794,19.9,cm,169,cm
138,2009-03-26,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,7.5,,g,4.883863944560289,9.2,cm,137,cm
139,2009-03-26,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,145,,g,-3.2858887733891606,22.2,cm,111,cm
140,2009-03-26,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,4.6,,g,4.801009630318731,7.7,cm,43,cm
141,2009-03-26,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,3.9,,g,3.5322682186961174,7.6,cm,65,cm
142,2009-03-26,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,2.4,,g,3.08804530184716,6.7,cm,82,cm
143,2009-03-26,blankvoorn,1,2,81200100,Zandplaat Kastel,137700,193386,1.1,,g,-1.9488643878139555,5,cm,149,cm
