AB_r,Bacterial_genotype,Phage_t,OD_0h,OD_20h,OD_72h,Survival_72h,PhageR_72h
Cip,S83L,L,0.0526,0.7546,0.6626,1,1
Cip,S83L,L,0.1422,0.3759,0.7751,1,1
Cip,S83L,L,0.0634,0.2783,0.702,1,1
Cip,S83L,L,0.0612,0.5416,0.7049,1,1
Cip,S83L,L,0.0646,0.6237,0.7142,1,1
Cip,S83L,L,0.1861,0.4099,0.8408,1,1
Cip,S83L,L,0.0668,0.5188,0.7369,1,1
Cip,S83L,L,0.0423,0.5013,0.7196,1,1
Cip,S83L,L,0.0376,0.4635,0.7196,1,1
Cip,S83L,L,0.0676,0.7835,0.7677,1,1
Cip,S83L,L,0.055,0.6915,0.7626,1,1
Cip,S83L,L,0.2338,0.5113,0.9435,1,1
Cip,S83L,L,0.1811,0.5406,0.91,1,1
Cip,S83L,L,0.0392,0.3506,0.7749,1,1
Cip,S83L,L,0.0509,0.39,0.8005,1,1
Cip,S83L,L,0.0448,0.5261,0.8226,1,1
Cip,S83L,L,0.0448,0.4753,0.8342,1,1
Cip,S83L,L,0.0634,0.6203,0.9033,1,1
Cip,S83L,L,0.0806,0.738,0.9309,1,1
Cip,S83L,L,0.1827,0.497,0.7441,1,1
sensitive,MUT,L,0.041,0.4828,0.6944,1,1
sensitive,MUT,L,0.0593,0.5059,0.7305,1,1
sensitive,MUT,L,0.0771,0.4919,0.7712,1,1
sensitive,MUT,L,0.0394,0.5911,0.8029,1,1
sensitive,MUT,L,0.0872,0.535,0.861,1,1
sensitive,MUT,L,0.0739,0.7489,0.8924,1,1
sensitive,MUT,L,0.0413,0.6562,0.8709,1,1
sensitive,MUT,L,0.0593,0.6885,0.8957,1,1
sensitive,MUT,L,0.0472,0.6886,0.895,1,1
sensitive,MUT,L,0.0471,0.7562,0.9331,1,1
sensitive,MUT,L,0.0428,0.6813,0.9674,1,1
sensitive,MUT,L,0.0547,0.3734,0.6868,1,1
sensitive,MUT,L,0.0451,0.3093,0.7126,1,1
sensitive,MUT,L,0.0827,0.5298,0.7517,1,1
sensitive,MUT,L,0.272,0.6563,0.9516,1,1
sensitive,MUT,L,0.2564,0.6941,0.9501,1,1
sensitive,MUT,L,0.0368,0.3288,0.7431,1,1
sensitive,MUT,L,0.0539,0.189,0.763,1,1
sensitive,MUT,L,0.0715,0.5108,0.8143,1,1
sensitive,MUT,L,0.0607,0.3613,0.814,1,1
sensitive,MUT,L,0.0827,0.501,0.8645,1,1
sensitive,MUT,L,0.0387,0.4988,0.8226,1,1
sensitive,MUT,L,0.0538,0.4663,0.8773,1,1
sensitive,MUT,L,0.0428,0.7775,1.0251,1,1
Rif,D516G,T4,0.0615,0.0085,0.0202,0,0
Rif,D516G,T4,0.0453,0.0062,0.0052,0,0
Rif,D516G,T4,0.0481,0.0059,0.0134,0,0
Rif,D516G,T4,0.0341,0.007,0.006,0,0
Rif,D516G,T4,0.0745,0.1585,0.0656,1,1
Rif,D516G,T4,0.0663,0.1739,0.1323,1,1
Rif,D516G,T4,0.0383,0.2137,0.1742,1,1
Rif,D516G,T4,0.0741,0.1577,0.2203,1,1
Rif,D516G,T4,0.112,0.1693,0.3093,1,1
Rif,D516G,T4,0.0787,0.123,0.2927,1,1
Rif,D516G,T4,0.0381,0.1746,0.2712,1,1
Rif,D516G,T4,0.0496,0.1389,0.36,1,1
Rif,D516G,T4,0.0738,0.1591,0.4062,1,1
Rif,D516G,T4,0.0352,0.1404,0.4286,1,1
Rif,D516G,T4,0.1006,0.2144,0.2195,1,1
Rif,D516G,T4,0.0702,0.1333,0.201,1,1
Rif,D516G,T4,0.0683,0.1347,0.2115,1,1
Rif,D516G,T4,0.0755,0.1561,0.2395,1,1
Rif,D516G,T4,0.0361,0.1536,0.2678,1,1
Rif,D516G,T4,0.0415,0.1349,0.3251,1,1
Rif,D516G,T4,0.0847,0.1694,0.3828,1,1
Rif,D516G,T4,0.0875,0.1515,0.3891,1,1
Rif,D516G,T4,0.039,0.1542,0.3717,1,1
Rif,D516G,T4,0.0283,0.1611,0.5308,1,1
Cip,D87G,T4,0.0837,0.0067,0.0076,0,0
Cip,D87G,T4,0.0599,0.0091,0.0131,0,0
Cip,D87G,T4,0.0966,0.1317,0.053,0,0
Cip,D87G,T4,0.1725,0.0349,0.1506,0,0
Cip,D87G,T4,0.0802,0.1911,0.3597,1,1
Cip,D87G,T4,0.0583,0.0813,0.4346,1,1
Cip,D87G,T4,0.0537,0.1323,0.4576,1,1
Cip,D87G,T4,0.0353,0.1732,0.5119,1,1
Cip,D87G,T4,0.0524,0.1681,0.1075,1,1
Cip,D87G,T4,0.0617,0.2073,0.208,1,1
Cip,D87G,T4,0.1212,0.0468,0.28,1,1
Cip,D87G,T4,0.0616,0.1958,0.3346,1,1
Cip,D87G,T4,0.0535,0.1088,0.347,1,1
Cip,D87G,T4,0.0559,0.2058,0.3721,1,1
Cip,D87G,T4,0.0547,0.1548,0.3807,1,1
Cip,D87G,T4,0.0924,0.1624,0.1587,1,1
Cip,D87G,T4,0.095,0.1041,0.1615,1,1
Cip,D87G,T4,0.0813,0.1358,0.2021,1,1
Cip,D87G,T4,0.0596,0.181,0.1878,1,1
Cip,D87G,T4,0.0698,0.1726,0.2028,1,1
Cip,D87G,T4,0.1009,0.1458,0.249,1,1
Cip,D87G,T4,0.1269,0.0905,0.344,1,1
Cip,D87G,T4,0.0858,0.1547,0.3091,1,1
Cip,D87G,T4,0.0538,0.1626,0.2914,1,1
sensitive,WT,T4,0.097,0.01,0.0115,0,0
sensitive,WT,T4,0.0514,0.0049,0.006,0,0
sensitive,WT,T4,0.0538,0.0043,0.0139,0,0
sensitive,WT,T4,0.0458,0.0064,0.0096,0,0
sensitive,WT,T4,0.0444,0.0067,0.0082,0,0
sensitive,WT,T4,0.0427,0.0067,0.0119,0,0
sensitive,WT,T4,0.1,0.021,0.1038,1,0
sensitive,WT,T4,0.0432,0.0022,0.0151,1,1
sensitive,WT,T4,0.0607,0.1603,0.2006,1,1
sensitive,WT,T4,0.0484,0.1224,0.1377,1,1
sensitive,WT,T4,0.0552,0.1387,0.1631,1,1
sensitive,WT,T4,0.0642,0.0949,0.2567,1,1
sensitive,WT,T4,0.0955,0.2317,0.3067,1,1
sensitive,WT,T4,0.062,0.141,0.294,1,1
sensitive,WT,T4,0.043,0.1285,0.3139,1,1
sensitive,WT,T4,0.0881,0.1315,0.1102,1,1
sensitive,WT,T4,0.098,0.0296,0.1578,1,1
sensitive,WT,T4,0.0564,0.0984,0.21,1,1
sensitive,WT,T4,0.1053,0.2533,0.2684,1,1
sensitive,WT,T4,0.0504,0.1109,0.2208,1,1
sensitive,WT,T4,0.0776,0.1475,0.2742,1,1
sensitive,WT,T4,0.0853,0.2193,0.3431,1,1
sensitive,WT,T4,0.1045,0.2327,0.4667,1,1
Str,K43N,T4,0.0968,0.0086,0.0097,0,0
Str,K43N,T4,0.085,0.009,0.01,0,0
Str,K43N,T4,0.0637,0.0063,0.0064,0,0
Str,K43N,T4,0.0656,0.006,0.0086,0,0
Str,K43N,T4,0.0535,0.0064,0.006,0,0
Str,K43N,T4,0.0551,0.0082,0.0078,0,0
Str,K43N,T4,0.0526,0.0081,0.0078,0,0
Str,K43N,T4,0.0522,0.0063,0.0077,0,0
Str,K43N,T4,0.0509,0.0067,0.0066,0,0
Str,K43N,T4,0.0473,0.0076,0.0078,0,0
Str,K43N,T4,0.0479,0.0121,0.0139,0,0
Str,K43N,T4,0.0348,0.005,0.0096,0,0
Str,K43N,T4,0.0498,0.016,0.0255,0,0
Str,K43N,T4,0.0277,0.0026,0.0089,0,0
Str,K43N,T4,0.027,0.0037,0.0089,0,0
Str,K43N,T4,0.0292,0.0028,0.0158,0,0
Str,K43N,T4,0.0773,0.011,0.1262,1,1
Str,K43N,T4,0.0485,0.0077,0.1286,1,1
Str,K43N,T4,0.0852,0.0073,0.1491,1,1
Str,K43N,T4,0.082,0.0116,0.1661,1,1
Str,K43N,T4,0.0556,0.0435,0.1502,1,1
Str,K43N,T4,0.0516,0.0117,0.1486,1,1
Str,K43N,T4,0.0484,0.0088,0.1601,1,1
Str,K43N,T4,0.0509,0.1567,0.4369,1,1
Str,K88R,T4,0.0769,0.0128,0.0104,0,0
Str,K88R,T4,0.0501,0.0079,0.0062,0,0
Str,K88R,T4,0.1348,0.0358,0.1194,0,0
Str,K88R,T4,0.0711,0.066,0.3451,1,0
Str,K88R,T4,0.0714,0.0089,0.1478,1,1
Str,K88R,T4,0.0517,0.1616,0.2655,1,1
Str,K88R,T4,0.0701,0.0902,0.1593,1,1
Str,K88R,T4,0.0977,0.0601,0.1984,1,1
Str,K88R,T4,0.0577,0.1483,0.2331,1,1
Str,K88R,T4,0.0506,0.0821,0.2415,1,1
Str,K88R,T4,0.0511,0.0605,0.2801,1,1
Str,K88R,T4,0.0724,0.0725,0.3301,1,1
Str,K88R,T4,0.0571,0.1364,0.3362,1,1
Str,K88R,T4,0.0656,0.1802,0.3749,1,1
Str,K88R,T4,0.0595,0.0818,0.4193,1,1
Str,K88R,T4,0.0379,0.1296,0.4405,1,1
Str,K88R,T4,0.053,0.1372,0.5464,1,1
Str,K88R,T4,0.1052,0.0121,0.1046,1,1
Str,K88R,T4,0.0712,0.0117,0.1404,1,1
Str,K88R,T4,0.0587,0.0102,0.1711,1,1
Str,K88R,T4,0.0951,0.1339,0.2142,1,1
Str,K88R,T4,0.0968,0.0861,0.2218,1,1
Str,K88R,T4,0.0925,0.153,0.3147,1,1
Str,K88R,T4,0.1298,0.17,0.4059,1,1
Tet,RP4,T4,0.0581,0.0166,0.055,1,0
Tet,RP4,T4,0.0953,0.1294,0.2363,1,1
Tet,RP4,T4,0.0352,0.0273,0.2064,1,1
Tet,RP4,T4,0.1541,0.1711,0.098,1,1
Tet,RP4,T4,0.097,0.1491,0.123,1,1
Tet,RP4,T4,0.0451,0.0032,0.1077,1,1
Tet,RP4,T4,0.1382,0.1328,0.2858,1,1
Tet,RP4,T4,0.0609,0.0818,0.2414,1,1
Tet,RP4,T4,0.0651,0.1763,0.0846,1,1
Tet,RP4,T4,0.0483,0.0362,0.0748,1,1
Tet,RP4,T4,0.0945,0.0161,0.1438,1,1
Tet,RP4,T4,0.1327,0.1414,0.223,1,1
Tet,RP4,T4,0.1188,0.0554,0.2163,1,1
Tet,RP4,T4,0.1162,0.1136,0.2278,1,1
Tet,RP4,T4,0.0682,0.1436,0.1822,1,1
Tet,RP4,T4,0.0446,0.0972,0.1809,1,1
Tet,RP4,T4,0.1142,0.1589,0.2723,1,1
Tet,RP4,T4,0.0389,0.0849,0.2032,1,1
Tet,RP4,T4,0.0956,0.1703,0.2666,1,1
Tet,RP4,T4,0.0982,0.1376,0.2723,1,1
Tet,RP4,T4,0.0433,0.152,0.2234,1,1
Tet,RP4,T4,0.1069,0.1354,0.2957,1,1
Tet,RP4,T4,0.0492,0.1754,0.4434,1,1
Str,RSF1010,T4,0.176,0.2371,0.2034,1,1
Str,RSF1010,T4,0.1097,0.1558,0.094,1,1
Str,RSF1010,T4,0.1433,0.2106,0.29,1,1
Str,RSF1010,T4,0.1236,0.2,0.3239,1,1
Str,RSF1010,T4,0.0521,0.2424,0.2718,1,1
Str,RSF1010,T4,0.0603,0.2175,0.3599,1,1
Str,RSF1010,T4,0.0393,0.1217,0.4373,1,1
Str,RSF1010,T4,0.0562,0.1508,0.4897,1,1
Str,RSF1010,T4,0.047,0.2228,0.5272,1,1
Str,RSF1010,T4,0.0615,0.1661,0.405,1,0
Str,RSF1010,T4,0.0541,0.2425,0.2679,1,1
Str,RSF1010,T4,0.1897,0.1061,0.2599,1,1
Str,RSF1010,T4,0.0969,0.2381,0.168,1,1
Str,RSF1010,T4,0.1197,0.1941,0.1974,1,1
Str,RSF1010,T4,0.0414,0.1351,0.1882,1,1
Str,RSF1010,T4,0.0298,0.1316,0.1836,1,1
Str,RSF1010,T4,0.0833,0.1208,0.2565,1,1
Str,RSF1010,T4,0.0532,0.1678,0.2596,1,1
Str,RSF1010,T4,0.0536,0.2358,0.2651,1,1
Str,RSF1010,T4,0.1098,0.2107,0.346,1,1
Str,RSF1010,T4,0.0679,0.1695,0.3148,1,1
Str,RSF1010,T4,0.051,0.1891,0.33,1,1
Str,RSF1010,T4,0.0374,0.1129,0.3371,1,1
Str,RSF1010,T4,0.0592,0.2226,0.4071,1,1
Rif,S512F,T4,0.0371,0.0104,0.0262,0,0
Rif,S512F,T4,0.0269,0.0055,0.0142,1,1
Rif,S512F,T4,0.075,0.1341,0.1888,1,1
Rif,S512F,T4,0.0685,0.0848,0.2394,1,1
Rif,S512F,T4,0.032,0.0936,0.3018,1,1
Rif,S512F,T4,0.0451,0.0929,0.4002,1,1
Rif,S512F,T4,0.0285,0.0749,0.4263,1,1
Rif,S512F,T4,0.0401,0.0078,0.2356,1,1
Rif,S512F,T4,0.0625,0.1071,0.2673,1,1
Rif,S512F,T4,0.0836,0.1235,0.3251,1,1
Rif,S512F,T4,0.0548,0.0519,0.0678,1,1
Rif,S512F,T4,0.0381,0.0105,0.106,1,1
Rif,S512F,T4,0.0526,0.0606,0.1374,1,1
Rif,S512F,T4,0.0284,0.082,0.1445,1,1
Rif,S512F,T4,0.0303,0.007,0.1627,1,1
Rif,S512F,T4,0.0299,0.0853,0.192,1,1
Rif,S512F,T4,0.0376,0.0565,0.2018,1,1
Rif,S512F,T4,0.0341,0.011,0.2078,1,1
Rif,S512F,T4,0.0749,0.1041,0.2497,1,1
Rif,S512F,T4,0.0436,0.1064,0.2193,1,1
Rif,S512F,T4,0.025,0.071,0.2116,1,1
Rif,S512F,T4,0.0346,0.0956,0.2222,1,1
Rif,S512F,T4,0.048,0.0432,0.2374,1,1
Rif,S512F,T4,0.0399,0.0779,0.343,1,1
Cip,S83L,T4,0.0737,0.0067,0.0075,0,0
Cip,S83L,T4,0.0555,0.0059,0.0102,0,0
Cip,S83L,T4,0.0505,0.005,0.0142,0,0
Cip,S83L,T4,0.0779,0.1755,0.5067,1,1
Cip,S83L,T4,0.0909,0.1699,0.1429,1,1
Cip,S83L,T4,0.0572,0.159,0.1719,1,1
Cip,S83L,T4,0.05,0.1595,0.1654,1,1
Cip,S83L,T4,0.0948,0.2201,0.2296,1,1
Cip,S83L,T4,0.0965,0.1144,0.2811,1,1
Cip,S83L,T4,0.0963,0.2369,0.3038,1,1
Cip,S83L,T4,0.0543,0.2,0.3543,1,1
Cip,S83L,T4,0.0554,0.1583,0.36,1,1
Cip,S83L,T4,0.0431,0.2264,0.3651,1,1
Cip,S83L,T4,0.0662,0.1838,0.4248,1,1
Cip,S83L,T4,0.1068,0.0114,0.1053,1,1
Cip,S83L,T4,0.0893,0.1267,0.1294,1,1
Cip,S83L,T4,0.0912,0.0088,0.1412,1,1
Cip,S83L,T4,0.0911,0.1823,0.1444,1,1
Cip,S83L,T4,0.0917,0.1595,0.1562,1,1
Cip,S83L,T4,0.0882,0.1387,0.1915,1,1
Cip,S83L,T4,0.0517,0.1604,0.1965,1,1
Cip,S83L,T4,0.0529,0.1736,0.2109,1,1
Cip,S83L,T4,0.094,0.1866,0.2592,1,1
Cip,S83L,T4,0.0514,0.2318,0.3009,1,1
sensitive,MUT,T4,0.046,0.1768,0.3141,1,1
sensitive,MUT,T4,0.0374,0.1949,0.3724,1,1
sensitive,MUT,T4,0.0551,0.1309,0.426,1,1
sensitive,MUT,T4,0.0333,0.236,0.5586,1,1
sensitive,MUT,T4,0.0448,0.1784,0.3875,1,0
sensitive,MUT,T4,0.0724,0.1488,0.1305,1,1
sensitive,MUT,T4,0.106,0.2254,0.2075,1,1
sensitive,MUT,T4,0.0964,0.1673,0.2203,1,1
sensitive,MUT,T4,0.0795,0.1728,0.2215,1,1
sensitive,MUT,T4,0.07,0.1564,0.213,1,1
sensitive,MUT,T4,0.0892,0.1534,0.2382,1,1
sensitive,MUT,T4,0.0568,0.1566,0.2731,1,1
sensitive,MUT,T4,0.0715,0.1554,0.2882,1,1
sensitive,MUT,T4,0.048,0.2435,0.2864,1,1
sensitive,MUT,T4,0.0576,0.162,0.311,1,1
sensitive,MUT,T4,0.0944,0.1623,0.3646,1,1
sensitive,MUT,T4,0.0786,0.1608,0.3694,1,1
sensitive,MUT,T4,0.0978,0.1863,0.4117,1,1
sensitive,MUT,T4,0.1002,0.1787,0.4331,1,1
sensitive,MUT,T4,0.0929,0.1743,0.4377,1,1
sensitive,MUT,T4,0.084,0.1693,0.4331,1,1
sensitive,MUT,T4,0.0562,0.2124,0.4166,1,1
sensitive,MUT,T4,0.0705,0.1587,0.4404,1,1
sensitive,MUT,T4,0.035,0.2457,0.509,1,1
Rif,D516G,T7,0.1603,0.007,0.0044,0,0
Rif,D516G,T7,0.1297,0.0069,0.0041,0,0
Rif,D516G,T7,0.1334,0.0055,0.0086,0,0
Rif,D516G,T7,0.1293,0.0061,0.0051,0,0
Rif,D516G,T7,0.1263,0.0105,0.0118,0,0
Rif,D516G,T7,0.1142,0.007,0.0048,0,0
Rif,D516G,T7,0.1054,0.0064,0.0042,0,0
Rif,D516G,T7,0.1038,0.0063,0.0047,0,0
Rif,D516G,T7,0.1009,0.0053,0.0059,0,0
Rif,D516G,T7,0.0836,0.0058,0.0056,0,0
Rif,D516G,T7,0.0733,0.0052,0.0054,0,0
Rif,D516G,T7,0.0712,0.0047,0.0049,0,0
Rif,D516G,T7,0.0665,0.0035,0.0036,0,0
Rif,D516G,T7,0.0615,0.0036,0.0036,0,0
Rif,D516G,T7,0.0571,0.0041,0.0039,0,0
Rif,D516G,T7,0.0503,0.0031,0.0037,0,0
Rif,D516G,T7,0.0464,0.0039,0.0043,0,0
Rif,D516G,T7,0.0424,0.0055,0.0024,0,0
Rif,D516G,T7,0.041,0.0057,0.003,0,0
Rif,D516G,T7,0.0388,0.0067,0.0038,0,0
Rif,D516G,T7,0.0365,0.0039,0.0039,0,0
Rif,D516G,T7,0.0682,0.0088,0.1165,1,0
Rif,D516G,T7,0.0964,0.0172,0.1399,1,1
Rif,D516G,T7,0.0688,0.0056,0.0645,1,1
Cip,D87G,T7,0.1765,0.0101,0.0092,0,0
Cip,D87G,T7,0.1563,0.0088,0.0133,0,0
Cip,D87G,T7,0.1352,0.0089,0.0075,0,0
Cip,D87G,T7,0.1348,0.0103,0.0113,0,0
Cip,D87G,T7,0.0871,0.0083,0.0049,0,0
Cip,D87G,T7,0.088,0.0091,0.0066,0,0
Cip,D87G,T7,0.0881,0.0085,0.0079,0,0
Cip,D87G,T7,0.0655,0.0054,0.0062,0,0
Cip,D87G,T7,0.06,0.0059,0.0054,0,0
Cip,D87G,T7,0.0588,0.0055,0.0049,0,0
Cip,D87G,T7,0.0555,0.0035,0.003,0,0
Cip,D87G,T7,0.0534,0.005,0.0041,0,0
Cip,D87G,T7,0.0458,0.0043,0.0043,0,0
Cip,D87G,T7,0.0438,0.0061,0.0046,0,0
Cip,D87G,T7,0.0422,0.0034,0.0037,0,0
Cip,D87G,T7,0.0353,0.0018,0.0024,0,0
Cip,D87G,T7,0.0307,0.0019,0.0021,0,0
Cip,D87G,T7,0.055,0.0059,0.1176,0,0
Cip,D87G,T7,0.0431,0.0063,0.1398,0,0
Cip,D87G,T7,0.1108,0.0159,0.138,1,0
Cip,D87G,T7,0.1209,0.0116,0.0688,1,1
Cip,D87G,T7,0.1328,0.0122,0.1719,1,1
Cip,D87G,T7,0.0853,0.0101,0.14,1,1
Cip,D87G,T7,0.0652,0.0092,0.1374,1,1
sensitive,WT,T7,0.1861,0.0227,0.0229,0,0
sensitive,WT,T7,0.17,0.0252,0.0268,0,0
sensitive,WT,T7,0.1402,0.0164,0.005,0,0
sensitive,WT,T7,0.1189,0.016,0.0165,0,0
sensitive,WT,T7,0.0976,0.0125,0.0141,0,0
sensitive,WT,T7,0.0867,0.0115,0.0113,0,0
sensitive,WT,T7,0.0824,0.0104,0.0093,0,0
sensitive,WT,T7,0.0818,0.0099,0.0096,0,0
sensitive,WT,T7,0.0773,0.0099,0.0097,0,0
sensitive,WT,T7,0.0749,0.0101,0.0091,0,0
sensitive,WT,T7,0.0525,0.0051,0.0043,0,0
sensitive,WT,T7,0.0515,0.0067,0.0057,0,0
sensitive,WT,T7,0.0511,0.0053,0.0055,0,0
sensitive,WT,T7,0.0496,0.0055,0.0058,0,0
sensitive,WT,T7,0.0478,0.0054,0.004,0,0
sensitive,WT,T7,0.0435,0.0039,0.0029,0,0
sensitive,WT,T7,0.0444,0.0053,0.0046,0,0
sensitive,WT,T7,0.0429,0.0043,0.0035,0,0
sensitive,WT,T7,0.0375,0.0055,0.0054,0,0
sensitive,WT,T7,0.113,0.014,0.0718,1,1
sensitive,WT,T7,0.0568,0.0048,0.0767,1,1
sensitive,WT,T7,0.0508,0.0057,0.0874,1,1
sensitive,WT,T7,0.0555,0.0057,0.1514,1,1
Str,K43N,T7,0.1442,0.0076,0.0041,0,0
Str,K43N,T7,0.1208,0.0086,0.0071,0,0
Str,K43N,T7,0.111,0.0069,0.0049,0,0
Str,K43N,T7,0.0965,0.0046,0.0042,0,0
Str,K43N,T7,0.1029,0.0057,0.0117,0,0
Str,K43N,T7,0.0964,0.0072,0.006,0,0
Str,K43N,T7,0.0943,0.0072,0.0041,0,0
Str,K43N,T7,0.0934,0.0038,0.0038,0,0
Str,K43N,T7,0.0895,0.0038,0.0042,0,0
Str,K43N,T7,0.0808,0.0032,0.0041,0,0
Str,K43N,T7,0.0784,0.0066,0.0054,0,0
Str,K43N,T7,0.0739,0.0044,0.0047,0,0
Str,K43N,T7,0.0696,0.0044,0.0038,0,0
Str,K43N,T7,0.0763,0.0079,0.0106,0,0
Str,K43N,T7,0.07,0.0047,0.005,0,0
Str,K43N,T7,0.0618,0.005,0.0046,0,0
Str,K43N,T7,0.0534,0.0046,0.004,0,0
Str,K43N,T7,0.0518,0.0047,0.0037,0,0
Str,K43N,T7,0.0498,0.006,0.0048,0,0
Str,K43N,T7,0.0434,0.0047,0.0046,0,0
Str,K43N,T7,0.0427,0.0047,0.0056,0,0
Str,K43N,T7,0.0335,0.0025,0.004,0,0
Str,K43N,T7,0.1039,0.0056,0.0471,1,1
Str,K43N,T7,0.0406,0.0053,0.0895,1,1
Str,K88R,T7,0.1627,0.0087,0.0068,0,0
Str,K88R,T7,0.158,0.0091,0.0062,0,0
Str,K88R,T7,0.1366,0.008,0.0069,0,0
Str,K88R,T7,0.118,0.0075,0.0074,0,0
Str,K88R,T7,0.1027,0.0072,0.0066,0,0
Str,K88R,T7,0.1024,0.0073,0.0098,0,0
Str,K88R,T7,0.0941,0.0103,0.0079,0,0
Str,K88R,T7,0.0796,0.0064,0.0037,0,0
Str,K88R,T7,0.0747,0.0068,0.0059,0,0
Str,K88R,T7,0.0702,0.0047,0.0044,0,0
Str,K88R,T7,0.0664,0.0072,0.0043,0,0
Str,K88R,T7,0.0596,0.0055,0.0045,0,0
Str,K88R,T7,0.0542,0.004,0.0036,0,0
Str,K88R,T7,0.0544,0.0069,0.0041,0,0
Str,K88R,T7,0.0548,0.0058,0.0048,0,0
Str,K88R,T7,0.0539,0.0035,0.0043,0,0
Str,K88R,T7,0.0505,0.005,0.0049,0,0
Str,K88R,T7,0.0422,0.0053,0.0046,0,0
Str,K88R,T7,0.0384,0.0057,0.0043,0,0
Str,K88R,T7,0.0321,0.0038,0.0034,0,0
Str,K88R,T7,0.0635,0.0032,0.0038,1,1
Str,K88R,T7,0.0571,0.0077,0.0695,1,1
Str,K88R,T7,0.0588,0.0418,0.1062,1,1
Str,K88R,T7,0.0623,0.0044,0.1465,1,1
Tet,RP4,T7,0.1729,0.0213,0.0221,0,0
Tet,RP4,T7,0.1469,0.019,0.0196,0,0
Tet,RP4,T7,0.1303,0.0114,0.0078,0,0
Tet,RP4,T7,0.1238,0.0127,0.0066,0,0
Tet,RP4,T7,0.1257,0.0133,0.0094,0,0
Tet,RP4,T7,0.1245,0.0163,0.0165,0,0
Tet,RP4,T7,0.1233,0.0174,0.0179,0,0
Tet,RP4,T7,0.1211,0.0163,0.0161,0,0
Tet,RP4,T7,0.1037,0.0063,0.004,0,0
Tet,RP4,T7,0.1162,0.0154,0.0175,0,0
Tet,RP4,T7,0.0884,0.0093,0.0062,0,0
Tet,RP4,T7,0.084,0.0054,0.0044,0,0
Tet,RP4,T7,0.0789,0.0065,0.0042,0,0
Tet,RP4,T7,0.0639,0.0072,0.0068,0,0
Tet,RP4,T7,0.0495,0.0049,0.0041,0,0
Tet,RP4,T7,0.1123,0.0124,0.0045,1,0
Tet,RP4,T7,0.0537,0.0077,0.0138,1,0
Tet,RP4,T7,0.1235,0.0145,0.1123,1,0
Tet,RP4,T7,0.1218,0.0163,0.0632,1,1
Tet,RP4,T7,0.1197,0.0121,0.0623,1,1
Tet,RP4,T7,0.1245,0.0192,0.1258,1,1
Tet,RP4,T7,0.0424,0.0047,0.0441,1,1
Tet,RP4,T7,0.0872,0.0082,0.1407,1,1
Str,RSF1010,T7,0.1377,0.0187,0.0184,0,0
Str,RSF1010,T7,0.1175,0.016,0.0148,0,0
Str,RSF1010,T7,0.1003,0.0074,0.0045,0,0
Str,RSF1010,T7,0.1008,0.0067,0.0055,0,0
Str,RSF1010,T7,0.1024,0.0123,0.0108,0,0
Str,RSF1010,T7,0.0962,0.009,0.0069,0,0
Str,RSF1010,T7,0.0895,0.007,0.0055,0,0
Str,RSF1010,T7,0.0879,0.0088,0.006,0,0
Str,RSF1010,T7,0.0784,0.0108,0.0075,0,0
Str,RSF1010,T7,0.0805,0.01,0.0101,0,0
Str,RSF1010,T7,0.0717,0.0055,0.0044,0,0
Str,RSF1010,T7,0.071,0.0101,0.0055,0,0
Str,RSF1010,T7,0.0708,0.0159,0.0102,0,0
Str,RSF1010,T7,0.0587,0.0096,0.006,0,0
Str,RSF1010,T7,0.0507,0.0071,0.0052,0,0
Str,RSF1010,T7,0.0879,0.0101,0.0992,0,0
Str,RSF1010,T7,0.0953,0.014,0.0123,1,0
Str,RSF1010,T7,0.1257,0.021,0.1913,1,0
Str,RSF1010,T7,0.0387,0.006,0.1574,1,0
Str,RSF1010,T7,0.1122,0.0163,0.0821,1,1
Str,RSF1010,T7,0.0594,0.008,0.0694,1,1
Str,RSF1010,T7,0.0425,0.0053,0.0586,1,1
Str,RSF1010,T7,0.0984,0.0096,0.144,1,1
Str,RSF1010,T7,0.0787,0.006,0.1409,1,1
Rif,S512F,T7,0.0718,0.006,0.0036,0,0
Rif,S512F,T7,0.0663,0.0052,0.0031,0,0
Rif,S512F,T7,0.0613,0.0032,0.0024,0,0
Rif,S512F,T7,0.0569,0.0043,0.0042,0,0
Rif,S512F,T7,0.0389,0.0018,0.0034,0,0
Rif,S512F,T7,0.0361,0.0036,0.0032,0,0
Rif,S512F,T7,0.0347,0.0021,0.0026,0,0
Rif,S512F,T7,0.034,0.0041,0.0029,0,0
Rif,S512F,T7,0.0349,0.0033,0.0047,0,0
Rif,S512F,T7,0.0373,0.0027,0.0114,0,0
Rif,S512F,T7,0.0257,0.0023,0.002,0,0
Rif,S512F,T7,0.0467,0.0032,0.0041,1,0
Rif,S512F,T7,0.0765,0.0079,0.091,1,1
Rif,S512F,T7,0.0249,0.0072,0.0819,1,1
Rif,S512F,T7,0.064,0.0067,0.1221,1,1
Rif,S512F,T7,0.0466,0.0097,0.1076,1,1
Rif,S512F,T7,0.0371,0.0104,0.1049,1,1
Rif,S512F,T7,0.0505,0.0071,0.1233,1,1
Rif,S512F,T7,0.0562,0.0059,0.1346,1,1
Rif,S512F,T7,0.0456,0.0067,0.1283,1,1
Rif,S512F,T7,0.0335,0.0063,0.1176,1,1
Rif,S512F,T7,0.0495,0.0054,0.1417,1,1
Rif,S512F,T7,0.0249,0.0047,0.119,1,1
