gbifID	species	speciesKey	genus	genusKey	eventDate	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters
4863465349	Euclidia glyphica	1798408	Euclidia	1798377	2024-05-12T16:23:01Z	49.671904	5.587295	72
4863462845	Gonepteryx rhamni	1920712	Gonepteryx	1920704	2024-05-12T11:18:32Z	50.432904	5.641439	60
4863458966	Opisthograptis luteolata	1960617	Opisthograptis	1960592	2024-05-14T08:59:29Z	51.229805	2.941915	50
4863454205	Pterostoma palpina	1825064	Pterostoma	1825057	2024-05-13T06:25:00Z	50.438728	6.108841	2
4863449078	Cyclophora punctaria	5149665	Cyclophora	8107362	2024-05-08T15:03:18Z	51.199592	5.299561	182
4863441893	Phragmatobia fuliginosa	1804071	Phragmatobia	1803951	2024-05-14T13:11:25Z	51.066006	3.098802	113
4863439776	Pterostoma palpina	1825064	Pterostoma	1825057	2024-05-08T19:12:00Z	50.551551	5.098319	1
4863438667	Macrothylacia rubi	1732416	Macrothylacia	1732397	2024-05-10T16:40:46Z	49.573387	5.821514	117
4863434677	Borkhausenia minutella	1838911	Borkhausenia	12031311	2024-05-11T19:24:11Z	50.95979	5.684522	20
4863433440	Coenonympha pamphilus	1911461	Coenonympha	1911078	2024-05-13T14:17:19Z	50.089389	4.564017	4
4863433054	Pieris napi	1920494	Pieris	1920481	2024-05-07T13:18:24Z	50.31967	4.868774	8
4863430245	Pieris napi	1920494	Pieris	1920481	2024-05-12T11:12:00Z	51.059865	3.680002	634
4863429786	Aplocera plagiata	1984942	Aplocera	1984922	2024-05-13T11:21:52Z	50.812878	4.3982	8
4863428997	Phragmatobia fuliginosa	1804071	Phragmatobia	1803951	2024-05-10T06:52:00Z	50.551551	5.098324	1
4863426447	Araschnia levana	1902533	Araschnia	1902519	2024-05-11T13:22:00Z	51.070061	3.059545	4
4863423090	Pseudopanthera macularia	1954563	Pseudopanthera	1954555	2024-05-11T09:56:00Z	49.664247	5.771562	191
4863418433	Hamearis lucina	1934693	Hamearis	1934690	2024-05-13T13:41:39Z	50.213837	5.293937	30
4863415823	Anthocharis cardamines	1919712	Anthocharis	1919696	2024-05-10T17:16:51Z	50.179921	5.57609	13288
4863415639	Diaphora mendica	6097214	Diaphora	3261008	2024-05-11T06:49:00Z	50.43874	6.108857	2
4863414820	Eupithecia vulgata	1982542	Eupithecia	1982367	2024-05-12T07:08:00Z	50.551548	5.098334	1
4863414611	Anthocharis cardamines	1919712	Anthocharis	1919696	2024-05-11T16:56:00Z	49.664037	5.77134	122
4863410394	Autographa gamma	1792418	Autographa	1792405	2024-05-14T08:47:51Z	51.229783	2.941905	163
4863410390	Peribatodes rhomboidaria	1957572	Peribatodes	1957545	2024-05-14T08:58:03Z	51.229805	2.941924	224
4863410161	Scoliopteryx libatrix	1798449	Scoliopteryx	1798440	2024-05-08T15:35:42Z	49.780915	5.237647	12764
4863408482	Anthocharis cardamines	1919712	Anthocharis	1919696	2024-05-09T15:56:00Z	50.397146	5.887281	15
4863397169	Euclidia glyphica	1798408	Euclidia	1798377	2024-05-13T10:51:36Z	50.52084	3.603715	25
4863380141	Chiasmia clathrata	4525078	Chiasmia	4525072	2024-05-08T11:07:00Z	51.180797	4.655344	4
4863378499	Cydalima perspectalis	4532122	Cydalima	1884886	2024-04-14T15:24:18Z	50.83866	4.394494	23
4863374741	Pararge aegeria	8049830	Pararge	1894469	2024-05-13T14:33:24Z	50.521931	3.602966	5
4863367049	Lacanobia oleracea	1759083	Lacanobia	1759029	2024-05-12T07:07:00Z	50.551556	5.098315	1
4863366317	Orthosia miniosa	1799132	Orthosia	1798902	2024-05-08T14:51:00Z	50.493053	3.672868	31
4863364091	Issoria lathonia	1905383	Issoria	1905339	2024-05-08T13:45:00Z	51.085403	2.556302	122
4863362725	Epirrhoe tristata	1964653	Epirrhoe	1964577	2024-05-12T12:48:17Z	50.490433	6.133403	4
4863360933	Cydalima perspectalis	4532122	Cydalima	1884886	2024-05-13T14:25:42Z	50.092278	4.562392	11
4863356816	Adela viridella	1860987	Adela	1856563	2024-04-06T17:07:03Z	51.442999	4.513927	63
4863353069	Tyria jacobaeae	5115777	Tyria	1809069	2024-05-13T20:21:41Z	51.007492	3.78672	5
4863353025	Anthocharis cardamines	1919712	Anthocharis	1919696	2024-05-12T14:49:00Z	50.48807	6.15889	245
4863346790	Araschnia levana	1902533	Araschnia	1902519	2024-05-10T11:50:00Z	50.73979	5.419717	210
4863345185	Pseudopanthera macularia	1954563	Pseudopanthera	1954555	2024-05-09T13:21:00Z	49.664058	5.7715630000000004	249
4863341669	Araschnia levana	1902533	Araschnia	1902519	2024-05-14T11:05:00Z	50.436881	3.967078	346
4863340341	Xanthorhoe fluctuata	1986157	Xanthorhoe	1986081	2024-05-06T11:43:00Z	50.306932	4.158205	177
4855561220	Agonopterix propinquella	1840301	Agonopterix	1840273	2024-04-07T12:45:00Z	50.551554	5.098318	1
4855556425	Aglais io	4535827	Aglais	1894779	2024-05-05T10:50:00Z	51.157983	4.607749	15
4855521563	Pieris napi	1920494	Pieris	1920481	2024-05-01T13:50:00Z	49.66404	5.771287	24
