taxonKey,locality,threatStatus,source,locationId,country,remarks
164615010,Germany,DATA_DEFICIENT,Reinhardt and Bolz (2011),ISO_3166:DE,DE,In source as 'Parnassius sacerdos'
164615010,France,NEAR_THREATENED,UICN France et al. (2012) | Lafranchis et al. (2015),ISO_3166:FR,FR,In source as 'Parnassius sacerdos'
164615010,France,LEAST_CONCERN,UICN France et al. (2012) | Lafranchis et al. (2015),ISO_3166:FR,FR,
164615010,Italy,LEAST_CONCERN,Bonelli et al. (2018) | Balletto et al. (2014),ISO_3166:IT,IT,
164615010,Italy,LEAST_CONCERN,Bonelli et al. (2018) | Balletto et al. (2014),ISO_3166:IT,IT,In source as 'Parnassius sacerdos'
164615010,Liechtenstein,,Aistleitner and Aistleitner (1996) | Ulrich Hiermann (pers. comm.),ISO_3166:LI,LI,
164615010,Russia,,Danilov-Danilian (2001) | Iliashenko and Iliashenko (2000) | Rudi Verovnik (pers. comm.) | Tatarinov and Gorbunov (2014) | Tshikolovets (2011) | Tuzov (1997) | Tuzov (2000),ISO_3166:RU,RU,
164615012,Europe,NOT_APPLICABLE,van Swaay et al. (2010) | Wiemers et al. (2018),,,
164615012,European Union,NOT_APPLICABLE,van Swaay et al. (2010),,,
164615012,Russia,,Danilov-Danilian (2001) | Iliashenko and Iliashenko (2000) | Rudi Verovnik (pers. comm.) | Tatarinov and Gorbunov (2014) | Tshikolovets (2011) | Tuzov (1997) | Tuzov (2000),ISO_3166:RU,RU,
164615013,Europe,LEAST_CONCERN,van Swaay et al. (2010) | Wiemers et al. (2018),,,
164615013,European Union,LEAST_CONCERN,van Swaay et al. (2010),,,
164615013,Andorra,CRITICALLY_ENDANGERED,Dantart and Jubany (2012),ISO_3166:AD,AD,
164615013,Spain,NOT_EVALUATED,Verdú and Galante (2009) | Verdú et al. (2011) | García-Barros et al. (2013) | Monasterio León et al. (2017),ISO_3166:ES,ES,
164615013,France,LEAST_CONCERN,UICN France et al. (2012) | Lafranchis et al. (2015),ISO_3166:FR,FR,
164615013,Portugal,,Garcia-Pereira et al. (2003) | Marabuto and Maravalhas (2008),ISO_3166:PT,PT,
164615014,Europe,LEAST_CONCERN,van Swaay et al. (2010) | Wiemers et al. (2018),,,
164615014,European Union,LEAST_CONCERN,van Swaay et al. (2010),,,
164615014,Greece,NEAR_THREATENED,Legakis and Maragou (2009) | Pamperis (2009) | Coutsis and Bozano (2017),ISO_3166:GR,GR,In source as 'Allancastria cretica'
164615015,Europe,,van Swaay et al. (2010) | Wiemers et al. (2018),,,
164615015,European Union,,van Swaay et al. (2010),,,
164615015,Italy,LEAST_CONCERN,Bonelli et al. (2018) | Balletto et al. (2014),ISO_3166:IT,IT,
164615016,Europe,LEAST_CONCERN,van Swaay et al. (2010) | Wiemers et al. (2018),,,
164615016,European Union,LEAST_CONCERN,van Swaay et al. (2010),,,
164615016,Albania,VULNERABLE,Anonymous (2013) | Cuvelier et al. (2018) | Micevski et al. (2015) | Šašić et al. (2015) | Verovnik and Popović (2013),ISO_3166:AL,AL,
164615016,Austria,NEAR_THREATENED,Höttinger and Pennerstorfer (2005) | Zulka et al. (2003) | Huemer (2013) | Huemer and Wiesmair (2017),ISO_3166:AT,AT,
164615016,Bosnia and Herzegovina,NEAR_THREATENED,Đug (2013) | Koren and Kulijer (2016) | Lelo (2016),ISO_3166:BA,BA,
164615016,Bulgaria,LEAST_CONCERN,Hristova and Beshkov (2017) | Kolev (2017) | Kolev and Shtinkov (2016) | Kolev and Tsvetanov (2018) | Langourov and Simov (2014),ISO_3166:BG,BG,
164615016,Belarus,VULNERABLE,Kulak and Yakovlev (2018) | Korb and Bolshakov (2016),ISO_3166:BY,BY,
164615016,Switzerland,REGIONALLY_EXTINCT,Wermeille et al. (2014) | Sonderegger (2005) | SwissLepTeam (2010),ISO_3166:CH,CH,
164615016,Czech Republic,NEAR_THREATENED,Beneš and Konvička (2017) | Alois Pavlíčko and Zdeněk Faltýnek Fric (pers. comm.),ISO_3166:CZ,CZ,
164615016,Germany,REGIONALLY_EXTINCT,Reinhardt and Bolz (2011),ISO_3166:DE,DE,
164615016,France,LEAST_CONCERN,UICN France et al. (2012) | Lafranchis et al. (2015),ISO_3166:FR,FR,
164615016,Greece,LEAST_CONCERN,Legakis and Maragou (2009) | Pamperis (2009) | Coutsis and Bozano (2017),ISO_3166:GR,GR,
164615016,Croatia,NEAR_THREATENED,Šašić et al. (2015) | Šašić and Mihoci (2011),ISO_3166:HR,HR,
164615016,Hungary,NEAR_THREATENED,Ádám Kőrösi & Ádám Gór (pers. comm.) | Gergely et al. (2017) | Sáfián et al. (2012) | Varga (2012),ISO_3166:HU,HU,
164615016,Italy,LEAST_CONCERN,Bonelli et al. (2018) | Balletto et al. (2014),ISO_3166:IT,IT,
164615016,Moldova,,Korb and Bolshakov (2016) | Mølgaard (2017),ISO_3166:MD,MD,
164615016,Montenegro,,Franeta (2018) | Švara et al. (2015),ISO_3166:ME,ME,
164615016,North Macedonia,NEAR_THREATENED,Krpač and Darcemont (2011) | Micevski and Micevski (2017),ISO_3166:MK,MK,
164615016,Poland,NOT_EVALUATED,Buszko and Nowacki (2002) | Buszko and Sielezniew (pers. comm.) | Buszko and Masłowski (2015),ISO_3166:PL,PL,
164615016,Romania,VULNERABLE,Rákosy (2013) | Vlad Dincă (pers. comm.) | Korb and Bolshakov (2016) | Székely (2008) | Wiemers et al. (2018),ISO_3166:RO,RO,
164615016,Serbia,LEAST_CONCERN,Jakšić (2003) | Popović et al. (2017) | Popović and Verovnik (2018),ISO_3166:RS,RS,
164615016,Russia,,Danilov-Danilian (2001) | Iliashenko and Iliashenko (2000) | Rudi Verovnik (pers. comm.) | Tatarinov and Gorbunov (2014) | Tshikolovets (2011) | Tuzov (1997) | Tuzov (2000),ISO_3166:RU,RU,
164615016,Slovenia,VULNERABLE,Anonymous (2002) | Verovnik et al. (2012),ISO_3166:SI,SI,
164615016,Slovakia,VULNERABLE,Hernik Kalivoda (pers. comm.) | Pastorális et al. (2013),ISO_3166:SK,SK,
164615016,Ukraine,NEAR_THREATENED,Serhiy Popov and Yurii Geryak (pers. comm.) | Korb and Bolshakov (2016) | Nekrutenko and Tshikolovets (2005),ISO_3166:UA,UA,
164615017,Europe,NEAR_THREATENED,van Swaay et al. (2010) | Wiemers et al. (2018),,,
164615017,European Union,NEAR_THREATENED,van Swaay et al. (2010),,,
164615017,Albania,,Anonymous (2013) | Cuvelier et al. (2018) | Micevski et al. (2015) | Šašić et al. (2015) | Verovnik and Popović (2013),ISO_3166:AL,AL,
164615017,Bosnia and Herzegovina,VULNERABLE,Đug (2013) | Koren and Kulijer (2016) | Lelo (2016),ISO_3166:BA,BA,In source as 'Zerynthia cerisyi'
164615017,Bulgaria,LEAST_CONCERN,Hristova and Beshkov (2017) | Kolev (2017) | Kolev and Shtinkov (2016) | Kolev and Tsvetanov (2018) | Langourov and Simov (2014),ISO_3166:BG,BG,
164615017,Cyprus,,John and Skule (2016),ISO_3166:CY,CY,In source as 'Allancastria cerisyi'
