speciesKey	species	iucnRedListCategory	inFlanders	inWallonia	inBrussels	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey
2704179	Poa annua	LC	TRUE	FALSE	TRUE	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Poa	2704173
5275365	Struthiopteris spicant	NE	TRUE	TRUE	FALSE	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Polypodiales	392	Blechnaceae	2374	Struthiopteris	7296752
5274951	Polypodium vulgare	NE	TRUE	FALSE	FALSE	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Polypodiales	392	Polypodiaceae	2368	Polypodium	2650111
2987999	Filipendula ulmaria	LC	FALSE	TRUE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Filipendula	2987968
5365717	Potentilla indica	NE	TRUE	TRUE	TRUE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Potentilla	8079058
3085440	Cerastium glomeratum	NE	TRUE	FALSE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Caryophyllaceae	2518	Cerastium	2873815
5406789	Alcea rosea	NE	TRUE	TRUE	TRUE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malvales	941	Malvaceae	6685	Alcea	5406788
8133697	Fissidens incurvus	NE	FALSE	FALSE	TRUE	Plantae	6	Bryophyta	35	Bryopsida	327	Dicranales	1335	Fissidentaceae	4643	Fissidens	2673216
5275132	Dryopteris filix-mas	NE	TRUE	FALSE	FALSE	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Polypodiales	392	Dryopteridaceae	2373	Dryopteris	2651126
3145214	Silybum marianum	LC	TRUE	TRUE	TRUE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Silybum	3145213
3120284	Achillea filipendulina	NE	FALSE	FALSE	TRUE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Achillea	3119995
2875979	Corylus avellana	LC	TRUE	TRUE	TRUE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Betulaceae	4688	Corylus	2875967
5284517	Taxus baccata	LC	TRUE	FALSE	FALSE	Plantae	6	Tracheophyta	7707728	Pinopsida	194	Pinales	640	Taxaceae	4863	Taxus	2684902
5353750	Hippocrepis comosa	LC	FALSE	TRUE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Hippocrepis	2956616
3134857	Lapsana communis	NE	TRUE	FALSE	TRUE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Lapsana	3134850
2882316	Fagus sylvatica	LC	TRUE	TRUE	TRUE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Fagus	2874875
2913548	Galium aparine	NE	TRUE	FALSE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Rubiaceae	8798	Galium	2913027
2888728	Sambucus nigra	NE	TRUE	FALSE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Dipsacales	946	Viburnaceae	4924416	Sambucus	2888721
2888605	Viburnum opulus	NE	TRUE	TRUE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Dipsacales	946	Viburnaceae	4924416	Viburnum	2888580
9094061	Ficaria verna	NE	TRUE	TRUE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ranunculales	399	Ranunculaceae	2410	Ficaria	3234342
2890668	Geranium robertianum	NE	TRUE	FALSE	TRUE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Geraniales	624	Geraniaceae	4676	Geranium	2889949
5284884	Picea abies	LC	TRUE	TRUE	FALSE	Plantae	6	Tracheophyta	7707728	Pinopsida	194	Pinales	640	Pinaceae	3925	Picea	7606064
3021496	Prunus laurocerasus	LC	TRUE	TRUE	TRUE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Prunus	3020559
2926557	Glechoma hederacea	NE	TRUE	FALSE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Lamiaceae	2497	Glechoma	2926556
3172082	Veronica agrestis	NE	TRUE	FALSE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Plantaginaceae	2420	Veronica	3172047
8334709	Conyza sumatrensis	NE	FALSE	TRUE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Conyza	7821792
2888946	Rumex longifolius	NE	FALSE	TRUE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Polygonaceae	2416	Rumex	2888942
2927230	Stachys byzantina	NE	TRUE	TRUE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Lamiaceae	2497	Stachys	2927228
3066965	Euphorbia lathyris	NE	TRUE	TRUE	TRUE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Euphorbiaceae	4691	Euphorbia	11397237
2984366	Soleirolia soleirolii	NE	TRUE	TRUE	TRUE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Urticaceae	6639	Soleirolia	2984365
5371742	Anthriscus sylvestris	NE	TRUE	FALSE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Apiales	1351	Apiaceae	6720	Anthriscus	5371741
7978544	Hydrocotyle ranunculoides	LC	TRUE	TRUE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Apiales	1351	Araliaceae	8800	Hydrocotyle	3034601
2722051	Carex pendula	NE	TRUE	TRUE	FALSE	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Carex	2721893
2682836	Pseudoscleropodium purum	NE	TRUE	TRUE	FALSE	Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Brachytheciaceae	4651	Pseudoscleropodium	2682835
3034825	Heracleum mantegazzianum	LC	TRUE	TRUE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Apiales	1351	Apiaceae	6720	Heracleum	3034824
2880539	Quercus rubra	LC	TRUE	TRUE	TRUE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951
5410151	Campanula poscharskyana	NE	TRUE	TRUE	TRUE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Campanulaceae	8801	Campanula	3161935
5361785	Myriophyllum aquaticum	NE	TRUE	FALSE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Saxifragales	7219248	Haloragaceae	6694	Myriophyllum	2984253
8427624	Oxalis corniculata	NE	TRUE	TRUE	TRUE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Oxalidales	7224021	Oxalidaceae	6697	Oxalis	2891642
5352251	Robinia pseudoacacia	LC	TRUE	TRUE	TRUE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Robinia	2952066
2889173	Reynoutria japonica	NE	TRUE	TRUE	TRUE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Polygonaceae	2416	Reynoutria	8420120
8108066	Asplenium trichomanes	NE	TRUE	TRUE	FALSE	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Polypodiales	392	Aspleniaceae	6625	Asplenium	2650583
3146683	Erigeron sumatrensis	NE	TRUE	TRUE	TRUE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Erigeron	3146588
2986097	Ribes rubrum	NE	FALSE	TRUE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Saxifragales	7219248	Grossulariaceae	2403	Ribes	2986095
7792079	Hieracium piloselloides	NE	FALSE	TRUE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Hieracium	3134951
NA	NA	NE	FALSE	TRUE	FALSE	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Festuca	2704913
3046890	Sisymbrium officinale	NE	FALSE	FALSE	TRUE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Brassicales	7225535	Brassicaceae	3112	Sisymbrium	3046735
3146791	Erigeron canadensis	NE	FALSE	TRUE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Erigeron	3146588
9500140	Myriocoleopsis minutissima	NE	TRUE	FALSE	FALSE	Plantae	6	Marchantiophyta	9	Jungermanniopsida	126	Porellales	377	Lejeuneaceae	6118	Myriocoleopsis	2688924
2889011	Rumex obtusifolius	NE	TRUE	FALSE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Polygonaceae	2416	Rumex	2888942
7473187	Draba verna	NE	TRUE	TRUE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Brassicales	7225535	Brassicaceae	3112	Draba	3049396
3065239	Euphorbia amygdaloides	NE	FALSE	TRUE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Euphorbiaceae	4691	Euphorbia	11397237
2688740	Frullania dilatata	NE	TRUE	TRUE	FALSE	Plantae	6	Marchantiophyta	9	Jungermanniopsida	126	Porellales	377	Frullaniaceae	2269	Frullania	2688736
3003244	Rosa multiflora	NE	TRUE	TRUE	TRUE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Rosa	8395064
5389017	Solidago gigantea	NE	TRUE	TRUE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Solidago	5388868
2684709	Juniperus communis	LC	TRUE	FALSE	TRUE	Plantae	6	Tracheophyta	7707728	Pinopsida	194	Pinales	640	Cupressaceae	8144	Juniperus	2684359
3146791	Erigeron canadensis	NE	TRUE	TRUE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Erigeron	3146588
3054368	Juglans regia	LC	TRUE	TRUE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Juglandaceae	2499	Juglans	3054350
3034922	Foeniculum vulgare	NE	TRUE	TRUE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Apiales	1351	Apiaceae	6720	Foeniculum	10704390
5298765	Iris foetidissima	NE	TRUE	FALSE	FALSE	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Iridaceae	7698	Iris	2748017
3021730	Prunus cerasifera	DD	TRUE	TRUE	TRUE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Prunus	3020559
2928751	Datura stramonium	NE	TRUE	TRUE	TRUE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Solanales	1176	Solanaceae	7717	Datura	2928734
3172291	Ligustrum ovalifolium	LC	TRUE	TRUE	TRUE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Oleaceae	6652	Ligustrum	3172289
5333294	Castanea sativa	LC	TRUE	TRUE	TRUE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Castanea	2882140
3034830	Heracleum sphondylium	NE	TRUE	FALSE	TRUE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Apiales	1351	Apiaceae	6720	Heracleum	3034824
2688969	Plagiochila porelloides	NE	FALSE	TRUE	FALSE	Plantae	6	Marchantiophyta	9	Jungermanniopsida	126	Jungermanniales	381	Plagiochilaceae	2278	Plagiochila	2688968
3093702	Hypochaeris radicata	NE	TRUE	FALSE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Hypochaeris	3093681
3082234	Cornus sanguinea	NE	FALSE	TRUE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Cornales	949	Cornaceae	6713	Cornus	3082226
3026162	Cotoneaster franchetii	NE	FALSE	TRUE	FALSE	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rosaceae	5015	Cotoneaster	3025563
